!	0	6
#	6	88
26.4	3294	1
26.5	3295	2
26.6	3297	1
261.4	3298	1
266.6	3299	1
27	3300	8
27,76	3308	1
27.1	3309	2
27.6	3311	1
27.8	3312	1
270.8	3313	1
28	3314	11
28.2	3325	1
28.4	3326	1
28.5	3327	2
28.7	3329	1
28.9	3330	1
287.5	3331	1
29	3332	5
29.0	3337	1
29.7	3338	1
295.7	3339	1
299,20	3340	1
2º	3341	1
3	3342	20
3.0	3362	5
3.1	3367	1
3.2	3368	2
3.378	3370	1
3.5	3371	1
30	3372	9
30.1	3381	1
30.5	3382	1
300	3383	1
300.000	3384	1
306,53	3385	1
309	3386	1
31	3387	5
31.1	3392	2
31.2	3394	1
31.6	3395	1
31.9	3396	2
3114.5	3398	1
312,82	3399	1
3166-2	3400	2
317,10	3402	1
319,29	3403	1
32	3404	1
32.3	3405	1
32.4	3406	1
32.6	3407	1
32.8	3408	1
320	3409	1
320,22	3410	1
320.000	3411	1
32°	3412	1
32°18′n	3413	1
33	3414	2
33.2	3416	2
33.3	3418	1
34,1	3419	2
34,62	3421	1
34.7	3422	1
35	3423	1
35.6	3424	1
35.8	3425	1
36	3426	3
365	3429	1
37.4	3430	1
37.5	3431	1
375	3432	1
38,3	3433	1
38.3	3434	2
3:30	3436	1
4	3437	15
4,1	3452	1
4,3	3453	1
4.0	3454	1
4.1	3455	2
4.2	3457	1
4.3	3458	1
4.4	3459	1
4.406	3460	1
4.5	3461	1
4.6	3462	2
4.7	3464	2
4.850	3466	1
4/5/2008»	3467	1
40	3468	1
40.2	3469	1
40.4	3470	1
41	3471	1
41,04	3472	1
41.5	3473	1
42	3474	1
423	3475	1
44.7	3476	1
444	3477	2
46	3479	1
47	3480	1
48.6	3481	1
4to	3482	1
5	3483	14
5,1	3497	1
5,3	3498	1
5,715	3499	1
5,8	3500	1
5.000	3501	1
5.1	3502	3
5.2	3505	1
5.3	3506	1
5.300	3507	1
5.304	3508	1
5.462	3509	1
5.7	3510	1
5.730	3511	1
5.8	3512	2
50	3514	2
52	3516	1
53.2	3517	1
53.3	3518	1
531	3519	1
533	3520	1
54,8	3521	2
55-1052	3523	1
554.4	3524	1
570	3525	1
5700	3526	1
5to	3527	1
6	3528	19
6,4	3547	1
6.1	3548	2
6.154	3550	1
6.177	3551	1
6.189	3552	1
6.2	3553	1
6.3	3554	1
6.4	3555	2
60	3557	1
600mm	3558	1
63°	3559	1
64°	3560	1
64°47′o	3561	1
65	3562	3
65.265	3565	1
65.365	3566	1
65.º	3567	1
66.3	3568	1
66.687	3569	1
660	3570	1
67,837	3571	1
68°56′o	3572	1
69,2	3573	1
69.9	3574	1
7	3575	12
7,63	3587	1
